Shipment Number,Shipper,Consignee,Origin,Destination,Transhipments count,Sending Agent,Receiving Agent,Sales Rep,TEU,Incitement,Transport Mode,Direction,Shipment Type,ETD,ETA,ATD,ATA,Total Transit Days,Total Estimated Transit Days,Delay Days,Late/Early
SHP102382,ITC Ltd,Bharat Pharma Exports,Valencia,Nhava Sheva,3,FastShip Ocean,EuroLogistics,P. Desai,1,DAP,Sea,Import,LCL,11-02-2024,13-03-2024,12-02-2024,02-04-2024,45,31,14,Late Arrival
SHP102383,Bharat Steel,AmeriTech LLC,Nhava Sheva,Antwerp,3,Pacific Marine,Ocean Bridge,V. Sinha,1,DDP,Sea,Export,FCL,31-03-2024,21-04-2024,02-04-2024,08-05-2024,24,21,3,Late Arrival
SHP102384,Tata Motors Ltd,AmeriTech LLC,Visakhapatnam,Kaohsiung,3,Greenline Agency,Bengal Marine,P. Desai,1,FOB,Sea,Export,FCL,20-03-2024,13-04-2024,24-03-2024,27-04-2024,29,24,5,Late Arrival
SHP102385,Reliance Exports,XYZ Automotives,Mundra,Tanjung Pelepas,3,GT Air Express,Deko Freight,R. Goenka,2,EXW,Sea,Export,FCL,29-05-2025,15-06-2025,30-05-2025,24-06-2025,19,17,2,Late Arrival
SHP102386,Larsen & Toubro,Global Traders LLP,Kolkata,Tokyo,2,GT Air Express,Bengal Marine,D. Sharma,1,CIF,Air,Export,Parcel,06-07-2025,08-07-2025,06-07-2025,09-07-2025,3,2,1,Late Arrival
SHP102387,Reliance Exports,ABC Imports Pvt Ltd,Cochin,Dallas,1,Greenline Agency,Gujarat Links,S. Kumar,1,FCA,Air,Export,Parcel,31-08-2025,01-09-2025,31-08-2025,01-09-2025,1,1,0,On Time
SHP102388,Godrej Agrovet,Star Imports Ltd,Mumbai,Dammam,2,GT Air Express,Deko Freight,M. Tandon,1,CIP,Sea,Export,FCL,30-12-2024,16-01-2025,06-01-2025,26-01-2025,18,17,1,Late Arrival
SHP102389,ITC Ltd,Euro Retail GmbH,Chennai,Tanger Med,1,Pacific Marine,Deko Freight,P. Desai,1,FOB,Sea,Export,LCL,23-04-2025,01-05-2025,27-04-2025,07-05-2025,10,8,2,Late Arrival
SHP102390,ITC Ltd,Euro Retail GmbH,Norfolk,Tuticorin,3,Shree Logi Agency,Ocean Bridge,A. Joshi,1,DAP,Sea,Import,LCL,05-03-2024,13-04-2024,06-03-2024,29-04-2024,37,39,-2,Early Arrival
SHP102391,Mahindra Agritech,XYZ Automotives,Tuticorin,Hamburg,3,GT Air Express,EuroLogistics,V. Sinha,1,CIF,Sea,Export,FCL,01-06-2025,28-06-2025,03-06-2025,27-07-2025,43,27,16,Late Arrival
SHP102392,Adani Exports,Global Traders LLP,Colombo,Mumbai,1,South Freight,Kanto Broker,R. Goenka,2,FOB,Sea,Import,FCL,02-10-2025,19-10-2025,03-10-2025,22-10-2025,19,17,2,Late Arrival
SHP102393,Adani Exports,Euro Retail GmbH,Visakhapatnam,Jebel Ali,2,Value Carry Pvt Ltd,Kanto Broker,D. Sharma,1,DDP,Sea,Export,FCL,20-11-2025,11-12-2025,23-11-2025,22-12-2025,27,21,6,Late Arrival
SHP102394,ITC Ltd,Pacific Foods Ltd,Savannah,Mumbai,3,Greenline Agency,Gujarat Links,S. Kumar,4,FOB,Sea,Import,FCL,06-02-2026,04-03-2026,06-02-2026,10-03-2026,28,26,2,Late Arrival
SHP102395,Godrej Agrovet,Star Imports Ltd,Cochin,Shanghai,2,South Freight,Bengal Marine,M. Tandon,4,FOB,Sea,Export,FCL,29-02-2024,22-03-2024,01-03-2024,27-03-2024,25,22,3,Late Arrival
SHP102396,Adani Exports,ABC Imports Pvt Ltd,Kolkata,Tacoma,3,Pacific Marine,Deko Freight,P. Desai,2,FCA,Sea,Export,LCL,05-10-2024,01-11-2024,21-10-2024,30-11-2024,29,27,2,Late Arrival
SHP102397,Godrej Agrovet,Sun Drug Co Ltd,Visakhapatnam,Rotterdam,3,Shree Logi Agency,Bengal Marine,A. Joshi,1,DAP,Sea,Export,FCL,23-02-2026,17-03-2026,28-02-2026,26-03-2026,21,22,-1,Early Arrival
SHP102398,Mahindra Agritech,AmeriTech LLC,Frankfurt,Mundra,1,GT Air Express,Deko Freight,P. Desai,1,FCA,Air,Import,Parcel,09-03-2024,11-03-2024,10-03-2024,13-03-2024,3,2,1,Late Arrival
SHP102399,Larsen & Toubro,Pacific Foods Ltd,Hamburg,Visakhapatnam,3,FastShip Ocean,Deko Freight,M. Tandon,1,FOB,Sea,Import,LCL,13-10-2024,20-11-2024,14-10-2024,26-11-2024,38,38,0,On Time
SHP102400,Godrej Agrovet,Global Traders LLP,Algeciras,Tuticorin,1,Value Carry Pvt Ltd,Ocean Bridge,D. Sharma,1,CIP,Sea,Import,FCL,26-10-2025,10-11-2025,30-10-2025,12-11-2025,13,15,-2,Early Arrival
SHP102401,Adani Exports,Pacific Foods Ltd,Mumbai,Tokyo,3,FastShip Ocean,Gujarat Links,S. Kumar,1,FOB,Sea,Export,FCL,22-04-2025,07-05-2025,23-04-2025,14-05-2025,17,15,2,Late Arrival
SHP102402,Max Pharma Ltd,AmeriTech LLC,Chennai,Paris,1,Greenline Agency,Ocean Bridge,V. Sinha,1,CIF,Air,Export,Parcel,22-05-2025,25-05-2025,23-05-2025,27-05-2025,4,3,1,Late Arrival
SHP102403,Larsen & Toubro,Star Imports Ltd,Mumbai,Seattle,3,GT Air Express,EuroLogistics,V. Sinha,1,CIF,Sea,Export,FCL,29-10-2025,02-12-2025,29-10-2025,18-12-2025,44,34,10,Late Arrival
SHP102404,Tata Motors Ltd,Sun Drug Co Ltd,Mundra,Kaohsiung,3,Shree Logi Agency,Gujarat Links,P. Desai,1,FCA,Sea,Export,FCL,07-07-2024,29-07-2024,07-07-2024,06-08-2024,25,22,3,Late Arrival
SHP102405,Larsen & Toubro,Pacific Foods Ltd,Singapore,Visakhapatnam,2,South Freight,Deko Freight,A. Joshi,1,DAP,Sea,Import,FCL,25-03-2026,17-04-2026,25-03-2026,23-04-2026,28,23,5,Late Arrival
SHP102406,Bharat Steel,Bharat Pharma Exports,Tuticorin,Shanghai,2,FastShip Ocean,Bengal Marine,S. Kumar,1,FCA,Sea,Export,FCL,16-05-2025,31-05-2025,19-05-2025,05-06-2025,15,15,0,On Time
SHP102407,Tata Motors Ltd,Global Traders LLP,Mumbai,Gioia Tauro,1,South Freight,Ocean Bridge,D. Sharma,1,DAP,Sea,Export,LCL,03-06-2025,15-06-2025,04-06-2025,15-06-2025,11,12,-1,Early Arrival
SHP102408,Reliance Exports,AmeriTech LLC,Chennai,Rotterdam,3,GT Air Express,Ocean Bridge,S. Kumar,1,CIP,Sea,Export,FCL,05-05-2025,26-05-2025,08-05-2025,06-06-2025,20,21,-1,Early Arrival
SHP102409,Max Pharma Ltd,Fresh Foods Inc,Mumbai,London,1,South Freight,EuroLogistics,A. Joshi,1,CIP,Air,Export,Parcel,18-03-2024,19-03-2024,19-03-2024,20-03-2024,1,1,0,On Time
SHP102410,Mahindra Agritech,Pacific Foods Ltd,Paris,Visakhapatnam,1,Shree Logi Agency,EuroLogistics,D. Sharma,1,CIP,Air,Import,Parcel,06-09-2024,08-09-2024,06-09-2024,08-09-2024,2,2,0,On Time
SHP102411,Tata Motors Ltd,Fresh Foods Inc,Cochin,Tokyo,3,Value Carry Pvt Ltd,Deko Freight,A. Joshi,2,FOB,Sea,Export,LCL,02-05-2024,29-05-2024,02-05-2024,18-06-2024,45,27,18,Late Arrival
SHP102412,Godrej Agrovet,AmeriTech LLC,Tacoma,Visakhapatnam,3,FastShip Ocean,Bluedart Cargo,M. Tandon,2,EXW,Sea,Import,FCL,17-12-2025,19-01-2026,18-12-2025,14-02-2026,55,33,22,Late Arrival
SHP102413,Max Pharma Ltd,Fresh Foods Inc,Cochin,Busan,2,FastShip Ocean,Deko Freight,P. Desai,2,EXW,Sea,Export,FCL,30-12-2024,20-01-2025,14-01-2025,08-02-2025,23,21,2,Late Arrival
SHP102414,ITC Ltd,Euro Retail GmbH,Visakhapatnam,Valencia,3,Greenline Agency,Ocean Bridge,V. Sinha,1,DAP,Sea,Export,LCL,02-03-2024,18-03-2024,03-03-2024,02-04-2024,23,16,7,Late Arrival
SHP102415,ITC Ltd,Bharat Pharma Exports,Kolkata,Charleston,3,Value Carry Pvt Ltd,Gujarat Links,A. Joshi,1,EXW,Sea,Export,FCL,09-08-2024,30-08-2024,11-08-2024,21-09-2024,33,21,12,Late Arrival
SHP102416,Tata Motors Ltd,XYZ Automotives,Mumbai,Los Angeles,2,Shree Logi Agency,Deko Freight,D. Sharma,1,FCA,Air,Export,Parcel,04-05-2025,09-05-2025,04-05-2025,10-05-2025,5,5,0,On Time
SHP102417,Bharat Steel,Euro Retail GmbH,Port Said,Kolkata,1,Greenline Agency,Gujarat Links,V. Sinha,1,EXW,Sea,Import,FCL,01-12-2024,16-12-2024,01-12-2024,16-12-2024,15,15,0,On Time
SHP102418,Reliance Exports,AmeriTech LLC,Miami,Visakhapatnam,3,Greenline Agency,Kanto Broker,P. Desai,2,CIF,Sea,Import,FCL,05-06-2024,05-07-2024,05-06-2024,29-07-2024,43,30,13,Late Arrival
SHP102419,Bharat Steel,Euro Retail GmbH,Kaohsiung,Cochin,2,Shree Logi Agency,Deko Freight,M. Tandon,2,CIF,Sea,Import,FCL,07-05-2025,26-05-2025,07-05-2025,03-06-2025,22,19,3,Late Arrival
SHP102420,Marico Ltd,ABC Imports Pvt Ltd,Salalah,Visakhapatnam,1,FastShip Ocean,Deko Freight,P. Desai,1,DAP,Sea,Import,LCL,18-06-2025,03-07-2025,23-06-2025,19-07-2025,26,15,11,Late Arrival
SHP102421,Mahindra Agritech,Fresh Foods Inc,Baltimore,Visakhapatnam,3,GT Air Express,Bengal Marine,P. Desai,1,DAP,Sea,Import,FCL,09-01-2024,13-02-2024,15-01-2024,28-02-2024,39,35,4,Late Arrival
SHP102422,Mahindra Agritech,XYZ Automotives,Tuticorin,Shanghai,2,GT Air Express,EuroLogistics,V. Sinha,1,DAP,Sea,Export,FCL,08-04-2024,28-04-2024,08-04-2024,07-05-2024,27,20,7,Late Arrival
SHP102423,Godrej Agrovet,Sun Drug Co Ltd,Hong Kong,Kolkata,2,South Freight,Deko Freight,S. Kumar,2,DAP,Sea,Import,LCL,11-06-2025,28-06-2025,11-06-2025,11-07-2025,27,17,10,Late Arrival
SHP102424,Larsen & Toubro,Pacific Foods Ltd,Ningbo,Tuticorin,2,South Freight,Ocean Bridge,P. Desai,1,CIP,Sea,Import,LCL,06-11-2025,22-11-2025,07-11-2025,29-11-2025,18,16,2,Late Arrival
SHP102425,Adani Exports,Sun Drug Co Ltd,Visakhapatnam,Oakland,3,Pacific Marine,Kanto Broker,M. Tandon,2,CIP,Sea,Export,FCL,22-06-2025,22-07-2025,29-06-2025,08-08-2025,36,30,6,Late Arrival
SHP102426,ITC Ltd,XYZ Automotives,Kolkata,New York,2,FastShip Ocean,Bluedart Cargo,V. Sinha,1,DAP,Air,Export,Parcel,06-09-2025,10-09-2025,06-09-2025,12-09-2025,6,4,2,Late Arrival
SHP102427,Adani Exports,Bharat Pharma Exports,Mumbai,Ningbo,3,Value Carry Pvt Ltd,Ocean Bridge,S. Kumar,1,FOB,Sea,Export,LCL,28-04-2025,23-05-2025,29-04-2025,30-05-2025,27,25,2,Late Arrival
SHP102428,Tata Motors Ltd,Fresh Foods Inc,Colombo,Mumbai,1,Shree Logi Agency,Bluedart Cargo,V. Sinha,1,FCA,Sea,Import,LCL,30-09-2024,15-10-2024,01-10-2024,17-10-2024,16,15,1,Late Arrival
SHP102429,Tata Motors Ltd,Star Imports Ltd,Port Klang,Nhava Sheva,2,GT Air Express,Bluedart Cargo,V. Sinha,1,FCA,Sea,Import,FCL,10-06-2024,28-06-2024,21-06-2024,10-07-2024,18,18,0,On Time
SHP102430,Tata Motors Ltd,XYZ Automotives,Cochin,Colombo,1,South Freight,Bluedart Cargo,V. Sinha,1,CIP,Sea,Export,FCL,27-10-2025,01-11-2025,27-10-2025,02-11-2025,6,5,1,Late Arrival
SHP102431,Bharat Steel,Sun Drug Co Ltd,Gioia Tauro,Tuticorin,1,FastShip Ocean,Gujarat Links,D. Sharma,1,CIF,Sea,Import,LCL,12-08-2024,24-08-2024,12-08-2024,04-09-2024,23,12,11,Late Arrival
SHP102432,Max Pharma Ltd,Bharat Pharma Exports,Visakhapatnam,Paris,1,GT Air Express,Kanto Broker,M. Tandon,1,DAP,Air,Export,Parcel,04-02-2026,05-02-2026,04-02-2026,05-02-2026,1,1,0,On Time
SHP102433,Bharat Steel,Pacific Foods Ltd,New York,Tuticorin,3,FastShip Ocean,EuroLogistics,V. Sinha,4,CIP,Sea,Import,FCL,09-12-2024,14-01-2025,09-12-2024,23-01-2025,42,36,6,Late Arrival
SHP102434,Tata Motors Ltd,Star Imports Ltd,Kolkata,Paris,1,FastShip Ocean,Ocean Bridge,V. Sinha,1,CIF,Air,Export,Parcel,02-03-2025,04-03-2025,06-03-2025,08-03-2025,2,2,0,On Time
SHP102435,Mahindra Agritech,Sun Drug Co Ltd,Tokyo,Chennai,2,Value Carry Pvt Ltd,Ocean Bridge,S. Kumar,1,DDP,Sea,Import,FCL,03-03-2025,24-03-2025,03-03-2025,28-03-2025,23,21,2,Late Arrival
SHP102436,ITC Ltd,Fresh Foods Inc,Tanger Med,Cochin,1,Greenline Agency,Bluedart Cargo,M. Tandon,1,DDP,Sea,Import,FCL,12-09-2025,24-09-2025,12-09-2025,25-09-2025,13,12,1,Late Arrival
SHP102437,Bharat Steel,Euro Retail GmbH,Tuticorin,Ningbo,3,Shree Logi Agency,Bluedart Cargo,D. Sharma,1,FCA,Sea,Export,FCL,05-03-2026,30-03-2026,05-03-2026,10-04-2026,31,25,6,Late Arrival
SHP102438,Godrej Agrovet,Bharat Pharma Exports,Tokyo,Mundra,2,Greenline Agency,Bluedart Cargo,R. Goenka,1,FCA,Air,Import,Parcel,03-05-2024,07-05-2024,08-05-2024,13-05-2024,4,4,0,On Time
SHP102439,Adani Exports,Pacific Foods Ltd,Ningbo,Cochin,2,Value Carry Pvt Ltd,Kanto Broker,D. Sharma,1,DDP,Sea,Import,FCL,18-05-2025,19-06-2025,27-05-2025,08-07-2025,40,32,8,Late Arrival
SHP102440,Reliance Exports,Fresh Foods Inc,Cochin,Savannah,3,FastShip Ocean,Gujarat Links,R. Goenka,1,CIF,Sea,Export,FCL,27-05-2025,26-06-2025,30-05-2025,11-07-2025,37,30,7,Late Arrival
SHP102441,Adani Exports,Fresh Foods Inc,Mumbai,Port Klang,3,Value Carry Pvt Ltd,Deko Freight,V. Sinha,1,EXW,Sea,Export,FCL,13-06-2025,10-07-2025,13-06-2025,24-07-2025,36,27,9,Late Arrival
SHP102442,Mahindra Agritech,AmeriTech LLC,Miami,Visakhapatnam,3,Shree Logi Agency,EuroLogistics,M. Tandon,1,CIP,Sea,Import,LCL,18-08-2024,14-09-2024,27-08-2024,05-10-2024,36,27,9,Late Arrival
SHP102443,Max Pharma Ltd,Fresh Foods Inc,Singapore,Visakhapatnam,2,GT Air Express,EuroLogistics,S. Kumar,2,FOB,Sea,Import,FCL,22-08-2024,11-09-2024,23-08-2024,25-09-2024,21,20,1,Late Arrival
SHP102444,ITC Ltd,Euro Retail GmbH,Visakhapatnam,Charleston,3,Shree Logi Agency,Gujarat Links,S. Kumar,1,DDP,Sea,Export,FCL,30-07-2024,25-08-2024,30-07-2024,03-09-2024,29,26,3,Late Arrival
SHP102445,Reliance Exports,Euro Retail GmbH,Felixstowe,Visakhapatnam,3,FastShip Ocean,Ocean Bridge,S. Kumar,2,FOB,Sea,Import,FCL,16-07-2025,06-09-2025,16-07-2025,16-09-2025,59,52,7,Late Arrival
SHP102446,Larsen & Toubro,AmeriTech LLC,Nhava Sheva,Hong Kong,1,Value Carry Pvt Ltd,Deko Freight,S. Kumar,1,DAP,Air,Export,Parcel,27-07-2024,29-07-2024,28-07-2024,30-07-2024,2,2,0,On Time
SHP102447,Marico Ltd,Pacific Foods Ltd,Dallas,Tuticorin,1,Value Carry Pvt Ltd,Ocean Bridge,A. Joshi,1,DAP,Air,Import,Parcel,02-10-2024,04-10-2024,03-10-2024,05-10-2024,2,2,0,On Time
SHP102448,Bharat Steel,Bharat Pharma Exports,Tuticorin,Norfolk,3,GT Air Express,Ocean Bridge,R. Goenka,1,FCA,Sea,Export,FCL,20-03-2025,17-04-2025,21-03-2025,27-04-2025,32,28,4,Late Arrival
SHP102449,Larsen & Toubro,Sun Drug Co Ltd,Mumbai,Hamburg,3,Pacific Marine,Deko Freight,S. Kumar,1,DAP,Sea,Export,FCL,31-08-2024,23-09-2024,31-08-2024,08-10-2024,26,23,3,Late Arrival
SHP102450,Max Pharma Ltd,Bharat Pharma Exports,Chicago,Visakhapatnam,1,Shree Logi Agency,Gujarat Links,R. Goenka,1,FOB,Air,Import,Parcel,22-10-2024,23-10-2024,23-10-2024,24-10-2024,1,1,0,On Time
SHP102451,ITC Ltd,Bharat Pharma Exports,Ningbo,Mundra,2,Pacific Marine,Ocean Bridge,R. Goenka,1,EXW,Sea,Import,FCL,09-01-2026,31-01-2026,09-01-2026,12-02-2026,32,22,10,Late Arrival
SHP102452,Marico Ltd,XYZ Automotives,Mumbai,Tanger Med,1,GT Air Express,Bluedart Cargo,P. Desai,1,FOB,Sea,Export,FCL,21-08-2024,07-09-2024,29-08-2024,19-09-2024,21,17,4,Late Arrival
SHP102453,ITC Ltd,AmeriTech LLC,Jeddah,Mumbai,2,Value Carry Pvt Ltd,Ocean Bridge,D. Sharma,1,DAP,Sea,Import,FCL,16-12-2025,08-01-2026,01-01-2026,07-02-2026,28,23,5,Late Arrival
SHP102454,Bharat Steel,XYZ Automotives,Visakhapatnam,Port Said,1,GT Air Express,Ocean Bridge,A. Joshi,2,DAP,Sea,Export,FCL,28-11-2024,06-12-2024,28-11-2024,10-12-2024,12,8,4,Late Arrival
SHP102455,Godrej Agrovet,AmeriTech LLC,Salalah,Mumbai,1,Value Carry Pvt Ltd,Bengal Marine,V. Sinha,1,CIF,Sea,Import,LCL,10-11-2025,24-11-2025,12-11-2025,26-11-2025,14,14,0,On Time
SHP102456,Max Pharma Ltd,AmeriTech LLC,Yokohama,Mumbai,2,Greenline Agency,Gujarat Links,D. Sharma,1,FOB,Sea,Import,FCL,04-03-2024,22-03-2024,08-03-2024,27-03-2024,18,18,0,On Time
SHP102457,Mahindra Agritech,ABC Imports Pvt Ltd,Tuticorin,Valencia,3,South Freight,Ocean Bridge,P. Desai,1,DDP,Sea,Export,FCL,21-10-2025,18-11-2025,21-10-2025,01-12-2025,38,28,10,Late Arrival
SHP102458,Max Pharma Ltd,Fresh Foods Inc,Cochin,Norfolk,3,South Freight,Deko Freight,M. Tandon,2,DDP,Sea,Export,FCL,12-03-2024,11-04-2024,15-03-2024,22-04-2024,32,30,2,Late Arrival
SHP102459,Godrej Agrovet,Pacific Foods Ltd,Tacoma,Cochin,3,Pacific Marine,Bengal Marine,M. Tandon,1,FOB,Sea,Import,LCL,03-09-2024,13-10-2024,07-09-2024,28-10-2024,47,40,7,Late Arrival
SHP102460,Reliance Exports,ABC Imports Pvt Ltd,Mumbai,Valencia,3,Greenline Agency,Gujarat Links,D. Sharma,4,CIF,Sea,Export,FCL,29-04-2025,14-05-2025,05-05-2025,26-05-2025,19,15,4,Late Arrival
SHP102461,Mahindra Agritech,Euro Retail GmbH,Paris,Nhava Sheva,1,Value Carry Pvt Ltd,Kanto Broker,S. Kumar,1,CIF,Air,Import,Parcel,12-04-2025,14-04-2025,15-04-2025,17-04-2025,2,2,0,On Time
SHP102462,Max Pharma Ltd,Star Imports Ltd,Frankfurt,Visakhapatnam,1,FastShip Ocean,Deko Freight,P. Desai,1,DAP,Air,Import,Parcel,09-06-2024,12-06-2024,10-06-2024,14-06-2024,4,3,1,Late Arrival
SHP102463,Godrej Agrovet,Sun Drug Co Ltd,Savannah,Visakhapatnam,3,Pacific Marine,Gujarat Links,A. Joshi,2,FOB,Sea,Import,FCL,10-05-2024,20-06-2024,11-05-2024,05-07-2024,52,41,11,Late Arrival
SHP102464,Mahindra Agritech,Star Imports Ltd,Busan,Tuticorin,2,Pacific Marine,Gujarat Links,M. Tandon,1,CIF,Sea,Import,FCL,28-03-2025,13-04-2025,28-03-2025,21-04-2025,20,16,4,Late Arrival
SHP102465,Adani Exports,Global Traders LLP,Mumbai,Busan,2,Shree Logi Agency,Bluedart Cargo,S. Kumar,1,CIP,Sea,Export,FCL,16-02-2025,01-03-2025,16-02-2025,23-03-2025,26,13,13,Late Arrival
SHP102466,Larsen & Toubro,Global Traders LLP,Chennai,Long Beach,3,Value Carry Pvt Ltd,EuroLogistics,S. Kumar,1,FCA,Sea,Export,FCL,08-03-2025,11-04-2025,15-03-2025,06-05-2025,47,34,13,Late Arrival
SHP102467,Godrej Agrovet,AmeriTech LLC,Kaohsiung,Cochin,2,GT Air Express,Bluedart Cargo,R. Goenka,4,EXW,Sea,Import,FCL,26-01-2026,10-02-2026,30-01-2026,19-02-2026,18,15,3,Late Arrival
SHP102468,Mahindra Agritech,Star Imports Ltd,Felixstowe,Cochin,3,Greenline Agency,Kanto Broker,R. Goenka,4,FOB,Sea,Import,LCL,04-06-2024,22-06-2024,05-06-2024,05-07-2024,27,18,9,Late Arrival
SHP102469,ITC Ltd,AmeriTech LLC,Chennai,Charleston,3,South Freight,Gujarat Links,S. Kumar,4,FOB,Sea,Export,FCL,27-03-2024,18-04-2024,28-03-2024,25-04-2024,26,22,4,Late Arrival
SHP102470,Mahindra Agritech,Star Imports Ltd,Paris,Kolkata,1,GT Air Express,EuroLogistics,R. Goenka,1,DDP,Air,Import,Parcel,15-04-2024,16-04-2024,15-04-2024,16-04-2024,1,1,0,On Time
SHP102471,Reliance Exports,Euro Retail GmbH,Mundra,Shanghai,2,Pacific Marine,Gujarat Links,D. Sharma,2,DAP,Sea,Export,FCL,17-01-2025,01-02-2025,17-01-2025,09-02-2025,21,15,6,Late Arrival
SHP102472,Bharat Steel,ABC Imports Pvt Ltd,Kolkata,Jeddah,2,GT Air Express,Gujarat Links,S. Kumar,2,DDP,Sea,Export,FCL,15-08-2025,04-09-2025,20-08-2025,16-09-2025,24,20,4,Late Arrival
SHP102473,Adani Exports,Euro Retail GmbH,Mundra,Jeddah,2,South Freight,Bengal Marine,R. Goenka,1,FCA,Sea,Export,FCL,15-05-2025,30-05-2025,15-05-2025,18-06-2025,19,15,4,Late Arrival
SHP102474,Larsen & Toubro,XYZ Automotives,Hong Kong,Kolkata,2,Value Carry Pvt Ltd,Bluedart Cargo,R. Goenka,4,FOB,Sea,Import,FCL,14-02-2026,05-03-2026,16-02-2026,13-03-2026,24,19,5,Late Arrival
SHP102475,Marico Ltd,ABC Imports Pvt Ltd,Ningbo,Kolkata,2,Shree Logi Agency,Kanto Broker,D. Sharma,1,FCA,Sea,Import,LCL,18-04-2024,13-05-2024,18-04-2024,25-05-2024,31,25,6,Late Arrival
SHP102476,Tata Motors Ltd,Bharat Pharma Exports,Nhava Sheva,Miami,3,GT Air Express,Bluedart Cargo,M. Tandon,2,DAP,Sea,Export,LCL,21-09-2024,16-10-2024,22-09-2024,28-10-2024,27,25,2,Late Arrival
SHP102477,Tata Motors Ltd,AmeriTech LLC,Jeddah,Tuticorin,2,Value Carry Pvt Ltd,Kanto Broker,P. Desai,2,DDP,Sea,Import,FCL,21-08-2025,19-09-2025,22-08-2025,30-09-2025,38,29,9,Late Arrival
SHP102478,ITC Ltd,ABC Imports Pvt Ltd,Tacoma,Chennai,3,GT Air Express,Deko Freight,R. Goenka,1,DDP,Sea,Import,FCL,04-02-2024,05-03-2024,06-02-2024,21-03-2024,38,30,8,Late Arrival
SHP102479,Larsen & Toubro,Sun Drug Co Ltd,Mundra,New York,3,Shree Logi Agency,Kanto Broker,R. Goenka,1,CIF,Sea,Export,FCL,11-10-2025,02-11-2025,11-10-2025,17-11-2025,32,22,10,Late Arrival
SHP102480,Max Pharma Ltd,ABC Imports Pvt Ltd,Chennai,Baltimore,3,Pacific Marine,Ocean Bridge,S. Kumar,1,DDP,Sea,Export,FCL,17-02-2024,11-03-2024,18-02-2024,20-03-2024,26,23,3,Late Arrival
SHP102481,Godrej Agrovet,AmeriTech LLC,Hamburg,Mundra,3,South Freight,Bluedart Cargo,V. Sinha,1,CIF,Sea,Import,FCL,23-12-2024,20-01-2025,23-12-2024,27-01-2025,33,28,5,Late Arrival
SHP102482,Bharat Steel,Star Imports Ltd,Mumbai,Tanjung Pelepas,3,Value Carry Pvt Ltd,Deko Freight,R. Goenka,1,EXW,Sea,Export,FCL,12-11-2024,08-12-2024,15-11-2024,17-12-2024,28,26,2,Late Arrival
SHP102483,Tata Motors Ltd,Euro Retail GmbH,Shanghai,Cochin,2,Greenline Agency,Gujarat Links,M. Tandon,1,DDP,Sea,Import,FCL,03-03-2024,18-03-2024,03-03-2024,03-04-2024,27,15,12,Late Arrival
SHP102484,Marico Ltd,XYZ Automotives,Nhava Sheva,Shanghai,2,GT Air Express,Ocean Bridge,P. Desai,2,DAP,Sea,Export,LCL,21-01-2024,03-02-2024,22-01-2024,12-02-2024,19,13,6,Late Arrival
SHP102485,Max Pharma Ltd,Pacific Foods Ltd,Tuticorin,Tokyo,3,Greenline Agency,Bengal Marine,R. Goenka,2,FCA,Sea,Export,FCL,11-08-2025,21-09-2025,17-08-2025,07-10-2025,43,41,2,Late Arrival
SHP102486,Marico Ltd,Star Imports Ltd,Tanger Med,Mumbai,1,GT Air Express,Bengal Marine,S. Kumar,1,FCA,Sea,Import,FCL,20-02-2026,02-03-2026,21-02-2026,10-03-2026,17,10,7,Late Arrival
SHP102487,Marico Ltd,Euro Retail GmbH,Sohar,Visakhapatnam,2,FastShip Ocean,Bengal Marine,A. Joshi,1,EXW,Sea,Import,FCL,01-07-2025,24-07-2025,02-07-2025,04-08-2025,31,23,8,Late Arrival
SHP102488,Bharat Steel,ABC Imports Pvt Ltd,Mumbai,Valencia,3,South Freight,Bluedart Cargo,D. Sharma,1,FCA,Sea,Export,FCL,20-10-2024,07-11-2024,28-10-2024,18-11-2024,18,18,0,On Time
SHP102489,ITC Ltd,AmeriTech LLC,London,Tuticorin,1,South Freight,Gujarat Links,P. Desai,1,FCA,Air,Import,Parcel,15-02-2025,16-02-2025,16-02-2025,18-02-2025,2,1,1,Late Arrival
SHP102490,Bharat Steel,Bharat Pharma Exports,Mundra,Tacoma,3,FastShip Ocean,Bengal Marine,V. Sinha,1,DDP,Sea,Export,FCL,29-02-2024,03-04-2024,02-03-2024,24-04-2024,48,34,14,Late Arrival
SHP102491,Max Pharma Ltd,ABC Imports Pvt Ltd,Chennai,New York,2,FastShip Ocean,Ocean Bridge,D. Sharma,1,DDP,Air,Export,Parcel,25-07-2024,29-07-2024,26-07-2024,03-08-2024,5,4,1,Late Arrival
SHP102492,Adani Exports,Star Imports Ltd,Mumbai,Frankfurt,1,South Freight,Deko Freight,P. Desai,1,CIP,Air,Export,Parcel,05-06-2025,07-06-2025,05-06-2025,08-06-2025,3,2,1,Late Arrival
SHP102493,Mahindra Agritech,Global Traders LLP,Hamburg,Chennai,3,GT Air Express,Bengal Marine,D. Sharma,2,CIP,Sea,Import,LCL,08-02-2024,11-03-2024,09-02-2024,29-03-2024,47,32,15,Late Arrival
SHP102494,Max Pharma Ltd,Bharat Pharma Exports,Algeciras,Cochin,1,South Freight,EuroLogistics,M. Tandon,1,DDP,Sea,Import,FCL,12-06-2025,24-06-2025,13-06-2025,24-06-2025,11,12,-1,Early Arrival
